,Name,Price,Rating,Reviews,Address,Latitude,Longitude,Category
798,Royal Coach Diner,2.0,4.1,2880.0,"3260 Boston Road, The Bronx",40.872477,-73.854267,restaurant
800,Golden Krust Caribbean Restaurant,1.0,4.1,192.0,"3538 White Plains Road, The Bronx",40.87802000000001,-73.86569999999999,restaurant
803,Gun Post Lanes,,3.5,886.0,"1215 East Gun Hill Road, The Bronx",40.8730559,-73.85196839999999,restaurant
805,Checkers,1.0,4.0,571.0,"771 E. Gunn Hill Rd, The Bronx",40.87665179999999,-73.8630811,restaurant
806,Pizza Hut,1.0,3.3,616.0,"765 East Gun Hill Road, The Bronx",40.8767402,-73.8632447,restaurant
813,Frank's Soup Bowl Inc,2.0,4.0,359.0,"3580 Bronxwood Avenue, The Bronx",40.8775085,-73.8591485,restaurant
815,Shell,2.0,3.9,27.0,"950 Allerton Avenue, The Bronx",40.8652927,-73.85906469999999,restaurant
818,Chuck E. Cheese,2.0,4.2,2023.0,"1816 East Gun Hill Road, The Bronx",40.8632159,-73.83326749999999,restaurant
819,Au Bon Pain,2.0,3.8,144.0,"1400 Pelham Parkway South, The Bronx",40.8561876,-73.846806,restaurant
820,Caridad & Louie's Restaurant,2.0,4.2,2273.0,"1660 East Gun Hill Road, The Bronx",40.865866,-73.83774799999999,restaurant
822,Battaglia's Market,2.0,4.3,203.0,"2503 Eastchester Road, The Bronx",40.8629224,-73.84372119999999,restaurant
823,Dunkin',1.0,4.0,175.0,"2451 Eastchester Road, The Bronx",40.8623028,-73.8439248,restaurant
826,Golden Star,1.0,4.0,131.0,"1384 East Gun Hill Road, The Bronx",40.8698708,-73.8456164,restaurant
827,Dunkin',1.0,3.6,232.0,"Gun Hill Commons, 1780 East Gun Hill Road, The Bronx",40.8632116,-73.8343005,restaurant
838,Domino's Pizza,1.0,2.4,836.0,"41 East 167th Street, The Bronx",40.8358728,-73.92099069999999,restaurant
840,Good Taste,1.0,3.9,96.0,"281 East 161 Street, The Bronx",40.8255641,-73.9178641,restaurant
841,Kennedy Fried Chicken,1.0,3.8,68.0,"198 East 167th Street, The Bronx",40.8340478,-73.9169278,restaurant
842,Mi Pueblito,1.0,3.8,195.0,"111 East 167th Street, The Bronx",40.8351196,-73.9188435,restaurant
843,Olga,,4.1,43.0,"1324 Jerome Avenue, The Bronx",40.838522,-73.9186821,restaurant
844,El Caldero,1.0,4.0,620.0,"1267 Jerome Avenue, The Bronx",40.8374845,-73.92072019999999,restaurant
845,Coffee Cosina,1.0,3.8,152.0,"1350 Jerome Avenue, The Bronx",40.83899799999999,-73.91833299999999,restaurant
848,Checkers,1.0,4.1,339.0,"1203 Jerome Avenue, The Bronx",40.8360593,-73.9228794,restaurant
