,Name,Reviews,Rating,Price,Distance (m),Latitude,Longitude,Address,Borough,Zipcode,Category
191,Sean's Quality Deli,11,4.0,,69.5039893685188,40.897663,-73.867505,4273 Katonah Ave,Bronx,10470,restaurant
192,Angelo Pizzeria,49,3.5,$$,562.3502980089951,40.903021795278526,-73.86501504927814,986 McLean Ave,Yonkers,10704,restaurant
193,Jerk House,62,3.5,$$,1004.5973024064534,40.89464,-73.85648,4246 White Plains,Bronx,10466,restaurant
194,Casa Mia,78,3.5,$$,1090.7893647541089,40.9051129697803,-73.8580121863904,132 Bronx River Rd,Yonkers,10704,restaurant
195,Oshima Japanese and Tex-Mex Express,56,3.0,$,576.0001040926192,40.903410539031,-73.8663598895073,954 B Mclean Ave,Yonkers,10704,restaurant
196,Carifesta Restaurant,22,4.0,$,959.7436251946946,40.89485,-73.8568,4251 White Plains Rd,Bronx,10466,restaurant
197,McKeon's Bar and Restaurant,24,3.5,$$,571.1516192211278,40.902972,-73.864453,996 McLean Ave,Yonkers,10704,restaurant
198,Bella Napoli 2,18,3.5,$,165.59472311217084,40.89678,-73.86734,4235 Katonah Ave,Bronx,10470,restaurant
199,New Dragon Star Chinese Kitchen,14,4.0,$,1011.1607198224036,40.89393,-73.85677,4216 White Plains Rd,Bronx,10466,restaurant
200,Curry & Kebab,95,4.0,$$,351.1761215197638,40.8740694334906,-73.8795868679881,3111 Bainbridge Ave,Bronx,10467,restaurant
201,Lexa Bar & Garden,132,4.0,$$,593.1394451249289,40.872080983727145,-73.87751956903072,357 E 204th St,Norwood,10467,restaurant
202,Nicky's Coffee Shop,71,4.0,$,259.039994312867,40.8748959634318,-73.879283460723,3140 Bainbridge Ave,Bronx,10467,restaurant
203,Queen Of Tacos,119,3.5,$$,475.6831470317539,40.880223,-73.883453,9 E Mosholu Pkwy N,Bronx,10467,restaurant
204,Tasty Picks,96,3.5,$,502.7453082900432,40.8817454174423,-73.8794161271287,89 E Gunhill Rd,New York,10467,restaurant
205,Mexicana Deli Grocery,47,4.0,$,559.3602488875808,40.87233,-73.87775,339 E 204th St,Bronx,10467,restaurant
206,Marconi's Pizza & Restaurant,63,3.5,$,438.1126775018906,40.88092,-73.87779,181 E Gun Hill Rd,Bronx,10467,restaurant
207,Sal's Pizzeria,68,3.5,$,226.4055034912548,40.87531,-73.87966,3167 Bainbridge Ave,Bronx,10467,restaurant
208,Aman,37,4.5,$,880.9802484667001,40.885147,-73.8794078,3594 Jerome Ave,Bronx,10452,restaurant
209,Jerome Pizza,81,4.0,$,910.9250432075478,40.873216463621,-73.8888399776716,21 Bedford Park Blvd E,Bronx,10468,restaurant
