Distance (m),Name,Neighbourhood,Reviews,Rating,Price,Latitude,Longitude,Borough,Zipcode,Category
969.0,Moss Cafe,Marble Hill,,3.509803921568628,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
1003.0,Liffy II Bar,Marble Hill,,3.3529411764705883,2.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
489.0,Auntie Anne's,Marble Hill,,2.8039215686274512,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
704.0,IHOP,Marble Hill,,2.6470588235294117,2.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
671.0,KFC,Marble Hill,,2.3333333333333335,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
168.0,151 Grocery/Deli,Marble Hill,,,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
219.0,Taqueria Sinaloense,Marble Hill,,,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
226.0,El Guacamole Restaurant,Marble Hill,,,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
245.0,China Wang,Marble Hill,,,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
687.0,Twin Donut,Marble Hill,,1.941176470588236,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
570.0,Popeyes Louisiana Kitchen,Marble Hill,,1.705882352941177,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
651.0,Panda Restaurant,Marble Hill,,,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
736.0,Kamil Grocery,Marble Hill,,,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
770.0,Manny Deli,Marble Hill,,,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
969.0,Bello Deli Food,Marble Hill,,,1.0,40.87655077879964,-73.91065965862981,Manhattan,10034.0,restaurant
21.0,Rambling House,Woodlawn,710.0,3.5,2.0,40.8983612,-73.8671608,Bronx,10466.0,restaurant
73.0,Curry Spot,Woodlawn,132.0,3.5,2.0,40.89776,-73.86706,Bronx,10466.0,restaurant
745.0,Rory Dolan's,Woodlawn,,4.294117647058824,2.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
549.0,Avitable Bros,Woodlawn,,3.9019607843137254,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
552.0,Angelo Pizzeria,Woodlawn,,3.588235294117647,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
579.0,Irish Coffee Shop,Woodlawn,,3.509803921568628,2.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
578.0,J P Clarkes Saloon,Woodlawn,,3.274509803921569,2.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
554.0,Moriartys Bar And Restaurant,Woodlawn,,2.8039215686274512,2.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
45.0,Just One Tavern,Woodlawn,,,,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
136.0,Woodlawn Deli,Woodlawn,,,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
165.0,Bella Napoli,Woodlawn,,,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
185.0,Katonah Irish Mini Mart,Woodlawn,,,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
1111.0,Danny Macs,Woodlawn,,2.411764705882353,2.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
453.0,Bella Napoli 2,Woodlawn,,,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
531.0,Hearty & Healthy,Woodlawn,,,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
550.0,Dee's Deli & Cafe,Woodlawn,,,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
563.0,Oshima,Woodlawn,,,2.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
582.0,Fagan's Ale House,Woodlawn,,,2.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
712.0,Tito Boss - Halal Cart,Woodlawn,,,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
754.0,The Rail House Restaurant,Woodlawn,,,2.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
783.0,Kelly's Pub,Woodlawn,,,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
907.0,Loong Xin Asian cuisine,Woodlawn,20.0,3.5,1.0,40.8935462028793,-73.8584990054369,Bronx,10466.0,restaurant
974.0,Tony's Pizza,Woodlawn,172.0,3.5,1.0,40.893291,-73.857841,Bronx,10466.0,restaurant
974.0,Carifesta Restaurant,Woodlawn,133.0,4.0,1.0,40.89485,-73.8568,Bronx,10466.0,restaurant
961.0,Burger King,Woodlawn,1050.0,1.0784313725490193,1.0,40.89827261213805,-73.86731496814176,Bronx,10466.0,restaurant
217.0,Sal's Pizzeria,Norwood,,3.9803921568627465,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
474.0,Queen of Tacos,Norwood,,3.1176470588235303,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
912.0,Madden's Bedford Pub,Norwood,,3.3529411764705883,1.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
927.0,Las Maravillas de Mexico Restaurant,Norwood,,3.274509803921569,2.0,40.87722415599446,-73.8793907395681,Bronx,10458.0,restaurant
