Borough,Neighbourhood,Latitude,Longitude,Zipcode,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed,Restaurant_Count_Name,Restaurant_Mean_Distance (m),Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,School_Count_Name,Park_Count_Name,Transit_Count_Name,Grocery_Count_Name,Rat_Mean_Case Open?,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Mean_Ride Count,Resto_Cluster,Transport_Cluster,Location_Cluster,Resto_Rat_Cluster,POI_Cluster
Brooklyn,Prospect Lefferts Gardens,40.65842002,-73.95489867,11225,,,,1933,2094,2911,3423,59,537.1064647,3.981854437,1.62962963,14668,11,18,10,11,0.004143646,11.72237569,5,1,1,0,1,1,0
Brooklyn,Ocean Hill,40.67840255,-73.91306832,11233,1700,1800,2100,,,,,24,584.5833333,2.990950226,1.25,0,0,0,0,0,0.011639185,13.13676043,2,1,1,0,1,3,2
Brooklyn,City Line,40.67856996,-73.86797598,11416,,,,,,,,44,620.8241887,3.447303922,1.418604651,6098,15,7,7,7,0.005602241,15.35854342,0,0,1,2,1,3,2
Brooklyn,Bergen Beach,40.61514955,-73.89855634,11234,,1600,1900,,,,,6,904.1666667,3.470588235,1.6,0,0,0,0,0,0,9.625,0,0,1,2,1,3,2
Brooklyn,Midwood,40.6255959,-73.95759523,11230,1600,1688,2000,,,,,25,724.44,3.189542484,1.47826087,0,0,0,0,0,0,10.46124031,0,0,1,2,1,3,2
Brooklyn,Prospect Park South,40.6470086,-73.96261317,11218,,1400,4650,,,,,25,710.96,3.751372549,1.68,0,0,0,0,0,0.00859375,14.59453125,11,1,1,0,1,3,2
Brooklyn,Georgetown,40.62384524,-73.91607484,11234,,,,,,,,25,653.96,3.284739983,1.68,0,0,0,0,0,0,0,0,0,1,2,1,3,2
Brooklyn,East Williamsburg,40.70849241,-73.93885815,11206,,,,,,,,46,909.4128787,4.206436488,1.76744186,17099,27,20,14,11,0.005610098,12.58485273,44,1,1,0,1,1,0
Brooklyn,North Side,40.71482291,-73.95880858,11211,,,,,,,,73,756.6645359,4.336637121,1.915492958,49097,22,33,36,16,0,0,75,1,1,0,1,1,0
Brooklyn,South Side,40.71086147,-73.95800095,11249,,,,,,,,47,666.6843553,4.324906133,1.826086957,29051,7,5,1,9,0.002089864,12.96865204,127,1,1,0,1,1,2
Brooklyn,Ocean Parkway,40.61305977,-73.96836678,11230,,,,,,,,68,742.4057791,3.804131653,1.644067797,17846,28,9,32,17,0,12.96323529,4,1,1,0,1,1,0
Brooklyn,Fort Hamilton,40.61476813,-74.03197915,11209,,,,,,,,91,556.4676929,4.06442577,1.822222222,30771,33,18,38,13,0,4.545454545,19,1,1,0,1,1,0
Manhattan,Chinatown,40.71561842,-73.99427936,10002,3000,2850,2200,,,,,25,381.08,4.432156863,1.772727273,0,0,0,0,0,0,0,28,1,1,0,1,3,2
Manhattan,Washington Heights,40.85190253,-73.93690028,10032,1650,1775,2163,1978,2039,2425,2859,33,576.879513,3.757278669,1.607142857,383,4,5,0,1,0.001061571,7.539278132,10,1,1,0,1,3,2
Manhattan,Inwood,40.86768396,-73.92121042,10034,1699,1733,2100,1657,1876,2273,2570,62,567.8278978,3.748039216,1.610169492,22149,18,17,16,12,0.00554785,10.59223301,19,1,1,0,1,1,0
Manhattan,Hamilton Heights,40.82360428,-73.94968792,10039,1937,2647,2400,1992,2118,2589,3174,30,596.3656548,3.767058824,1.655172414,1960,2,1,0,3,0.002588438,9.125970664,9,1,1,0,1,3,2
Manhattan,Manhattanville,40.81693443,-73.95738539,10031,,,,,,,,49,518.4714527,3.88947579,1.844444444,12651,10,18,18,8,0.03358209,7.634328358,0,0,1,2,1,2,0
Manhattan,Central Harlem,40.81597607,-73.94321113,10030,1713,2000,2667,,,,,40,545.4282108,3.900588235,1.710526316,17646,14,16,10,10,0.007808433,10.06663196,24,1,1,0,1,3,0
Manhattan,East Harlem,40.79224947,-73.94418223,10035,1600,2000,2300,2010,2367,3268,3880,45,618.7680041,4.018649237,1.627906977,16336,19,34,14,12,0,9.124394184,6,1,1,0,1,3,0
Manhattan,Upper East Side,40.77563857,-73.96050763,10028,1898,2395,3295,,,,,53,453.16,4.240473548,2.075471698,24647,28,31,38,10,0.004950495,10.21287129,295,1,1,3,1,1,0
Manhattan,Yorkville,40.77592985,-73.94711784,10075,,,,2215,2838,4181,7084,25,434.52,4.290980392,1.76,0,0,0,0,0,0,0,178,1,1,0,1,3,2
Manhattan,Lenox Hill,40.76811266,-73.95885969,10075,,,,2316,3277,5106,8553,37,437.0543241,4.348383678,2.028571429,8264,7,2,12,2,0.001550388,7.63875969,229,1,1,0,1,3,2
Manhattan,Roosevelt Island,40.76215961,-73.94916769,11106,,2050,4478,2696,3257,4411,5445,63,1097.814869,4.174696545,1.709677419,22473,14,6,14,12,0,0,1,1,1,0,1,1,0
Manhattan,Upper West Side,40.787658,-73.97705924,10024,1975,2750,4350,,,,,54,336.1745796,4.190958606,2.057692308,47372,16,23,15,6,0.002955665,12.1044335,201,1,1,0,1,1,0
Manhattan,Lincoln Square,40.77352889,-73.98533777,10023,,,,,,,,38,612.4183968,4.134262126,2.342105263,27370,15,15,18,9,0.023323615,12.29154519,61,1,1,0,1,2,0
Manhattan,Clinton,40.75910089,-73.99611936,10018,1250,1635,3325,,,,,54,944.5780762,4.271895425,2.075471698,38961,14,18,6,8,0,0,468,1,1,3,1,1,0
Manhattan,Midtown,40.7546911,-73.98166883,10017,2923,3175,4000,,,,,24,445.6666667,4.251633987,2.333333333,0,0,0,0,0,0,14,338,1,1,3,1,3,2
